Date,GDD_CO,GDD_ID,GDD_IL,GDD_KS,GDD_MN,GDD_MT,GDD_ND,GDD_NE,GDD_OK,GDD_SD,GDD_TX,GDD_WA,WindSpeed_CO,WindSpeed_ID,WindSpeed_IL,WindSpeed_KS,WindSpeed_MN,WindSpeed_MT,WindSpeed_ND,WindSpeed_NE,WindSpeed_OK,WindSpeed_SD,WindSpeed_TX,WindSpeed_WA,DailyPrecipSimpleAnomaly90d_CO,DailyPrecipSimpleAnomaly90d_ID,DailyPrecipSimpleAnomaly90d_IL,DailyPrecipSimpleAnomaly90d_KS,DailyPrecipSimpleAnomaly90d_MN,DailyPrecipSimpleAnomaly90d_MT,DailyPrecipSimpleAnomaly90d_ND,DailyPrecipSimpleAnomaly90d_NE,DailyPrecipSimpleAnomaly90d_OK,DailyPrecipSimpleAnomaly90d_SD,DailyPrecipSimpleAnomaly90d_TX,DailyPrecipSimpleAnomaly90d_WA,HeatwaveIndex_CO,HeatwaveIndex_ID,HeatwaveIndex_IL,HeatwaveIndex_KS,HeatwaveIndex_MN,HeatwaveIndex_MT,HeatwaveIndex_ND,HeatwaveIndex_NE,HeatwaveIndex_OK,HeatwaveIndex_SD,HeatwaveIndex_TX,HeatwaveIndex_WA,DailyPrecipSimpleAnomaly30d_CO,DailyPrecipSimpleAnomaly30d_ID,DailyPrecipSimpleAnomaly30d_IL,DailyPrecipSimpleAnomaly30d_KS,DailyPrecipSimpleAnomaly30d_MN,DailyPrecipSimpleAnomaly30d_MT,DailyPrecipSimpleAnomaly30d_ND,DailyPrecipSimpleAnomaly30d_NE,DailyPrecipSimpleAnomaly30d_OK,DailyPrecipSimpleAnomaly30d_SD,DailyPrecipSimpleAnomaly30d_TX,DailyPrecipSimpleAnomaly30d_WA,EvapotranspirationRatio_CO,EvapotranspirationRatio_ID,EvapotranspirationRatio_IL,EvapotranspirationRatio_KS,EvapotranspirationRatio_MN,EvapotranspirationRatio_MT,EvapotranspirationRatio_ND,EvapotranspirationRatio_NE,EvapotranspirationRatio_OK,EvapotranspirationRatio_SD,EvapotranspirationRatio_TX,EvapotranspirationRatio_WA,SoilMoistureAnomaly_CO,SoilMoistureAnomaly_ID,SoilMoistureAnomaly_IL,SoilMoistureAnomaly_KS,SoilMoistureAnomaly_MN,SoilMoistureAnomaly_MT,SoilMoistureAnomaly_ND,SoilMoistureAnomaly_NE,SoilMoistureAnomaly_OK,SoilMoistureAnomaly_SD,SoilMoistureAnomaly_TX,SoilMoistureAnomaly_WA,DailyPrecipSimpleAnomaly365d_CO,DailyPrecipSimpleAnomaly365d_ID,DailyPrecipSimpleAnomaly365d_IL,DailyPrecipSimpleAnomaly365d_KS,DailyPrecipSimpleAnomaly365d_MN,DailyPrecipSimpleAnomaly365d_MT,DailyPrecipSimpleAnomaly365d_ND,DailyPrecipSimpleAnomaly365d_NE,DailyPrecipSimpleAnomaly365d_OK,DailyPrecipSimpleAnomaly365d_SD,DailyPrecipSimpleAnomaly365d_TX,DailyPrecipSimpleAnomaly365d_WA,dayofyear_CO,dayofyear_ID,dayofyear_IL,dayofyear_KS,dayofyear_MN,dayofyear_MT,dayofyear_ND,dayofyear_NE,dayofyear_OK,dayofyear_SD,dayofyear_TX,dayofyear_WA,GPR,CL=F,CORN,DBA,DX-Y.NYB,GC=F,HG=F,IAK,KC=F,NG=F,SI=F,SPY,TRV,VIX,ZC=F,ZS=F,ZW=F,^TNX,US_Ag_Exports_Monthly,US_Ag_Imports_Monthly,US_Ag_Trade_Balance_Monthly,DAP_USD_mt,TSP_USD_mt,Urea_USD_mt,Crude_Oil_WTI_USD_bbl,CPIAUCSL,PPIACO,UNRATE,GDPC1,FEDFUNDS,DGS10,M2SL,Target_Return_CORN,Target_Direction
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32734755,0.0,1.6046064,1.6144711,3.1239412,1.940442,2.2122881,2.0923748,3.025301,2.6280942,1.9875329,3.0491598,2.2184787,1.7385105,-0.019885657,0.09407708,-0.06184564,-0.011013985,-0.03959732,0.018503875,-0.017709121,-0.011483736,-0.059583113,-0.019497568,-0.10982908,0.22488345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006107659,0.08289047,-0.021946238,0.0071678357,-0.008040707,0.013033645,0.00014144834,0.0015596454,-0.0025117472,-0.00025867275,-0.062205378,0.12740533,0.020510556,0.020691939,0.3720297,0.07426887,0.04047764,0.023355963,0.05036584,0.041838724,0.07633965,0.039505746,0.72052145,0.041028317,0.83944166,-0.34400806,-0.4025189,0.6963989,0.07682817,-0.27302524,-0.11231023,0.73283356,0.5688862,0.28384233,0.68698716,0.6867517,-0.050716914,0.07729925,-0.12544061,-0.07038732,-0.08144167,-0.024291243,-0.05054356,-0.090919845,-0.086312,-0.06915812,-0.09174985,0.26045662,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,91.58102416992188,81.51000213623047,,23.769956588745117,77.52999877929688,1117.699951171875,3.388000011444092,20.488187789916992,141.85000610351562,5.883999824523926,17.440000534057617,85.76842498779297,34.7208137512207,,418.5,1049.5,557.75,3.8410000801086426,9855434854000,6726710066000.0,3128724788000.0,383.0,296.25,266.5,78.35526315789,217.488,181.9,9.8,16582.71,0.11,3.68,8478.0,,
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396206,0.007788445,1.850097,1.5303667,2.7175667,2.850423,2.8678155,2.8641841,4.5704985,4.493775,2.6266787,4.7413588,2.9549906,1.6488588,-0.02918495,-0.018844042,-0.013770418,-0.022644904,-0.01723608,0.019741792,0.009320623,-0.008037739,-0.06677292,0.00040741745,-0.09594829,-0.012974196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015942317,-0.038809806,-0.0006558746,-0.0012960082,-0.0038203762,0.016463151,0.012272537,0.00068066485,-0.0189112,0.0074825357,-0.050403457,-0.09404536,0.056881595,0.03674087,0.3720297,0.07427637,0.04047764,0.033061493,0.025044926,0.06939538,0.17112528,0.045407206,1.754669,0.1886911,0.828736,-0.35434803,-0.64647055,0.58708227,0.01378566,-0.30645627,-0.15953755,0.6472063,0.32043618,0.13023166,0.31973997,0.16747253,-0.056638587,-0.037833564,-0.07699932,-0.08021084,-0.06612506,-0.022932222,-0.02674171,-0.087024905,-0.09743929,-0.054274496,-0.08985212,0.0117708845,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,91.58102416992188,82.5199966430664,,23.923138427734376,77.0,1135.1999755859374,3.4202999591827394,20.772241592407227,142.71000061035156,5.453999996185303,18.28360023498535,86.8279800415039,33.77978286743164,,422.5,1001.75,572.5,3.818000078201294,9855434854000,6726710066000.0,3128724788000.0,383.0,296.25,266.5,78.35526315789,217.488,181.9,9.8,16582.71,0.11,3.68,8478.0,,
2010-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055167682,0.0,4.8547525,0.0005173826,1.6326789,1.8770791,2.0462463,2.158007,3.1536086,2.9614437,4.668628,3.7053478,2.075849,4.0467806,2.863713,1.694124,-0.038455557,-0.00085,-0.05552605,-0.03528636,-0.031548075,-0.0191196,-0.03879466,-0.028113456,-0.047770314,-0.03402334,0.04583335,0.1636401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031750437,-0.01749103,-0.059101555,-0.019652462,-0.03957796,-0.02619942,-0.048230078,-0.020961182,-0.032108877,-0.036614113,0.066638,0.11959998,0.04243218,0.0688522,0.07783982,0.07427637,0.04047764,0.068810456,0.025044926,0.06939538,0.12131118,0.045407206,0.16894692,0.06971931,0.73150665,-0.06834364,-0.08298712,0.938024,-0.1295782,0.030495519,-0.29319313,0.95271397,0.52991265,0.0134037305,0.4899525,0.88267946,-0.06349453,-0.018738015,-0.12201746,-0.092424594,-0.08665473,-0.06310214,-0.080082044,-0.10656261,-0.078643635,-0.09113872,0.04845331,0.19115064,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,91.58102416992188,78.0,,23.44934320449829,77.31999969482422,1134.5,3.3640000224113464,20.933911323547363,143.3375015258789,5.690999984741211,18.458749771118164,86.0030517578125,34.145745277404785,,371.5,974.0,510.0,3.6760001182556152,9855434854000,6726710066000.0,3128724788000.0,383.0,296.25,266.5,78.35526315789,217.488,181.9,9.8,16582.71,0.11,3.68,8478.0,,
2010-01-25,0.02316906,0.0,0.01876376,0.03128566,0.0,0.0,0.0,0.0,4.0053616,0.0,22.689734,0.00058913045,2.4495988,1.8460087,3.3824,3.4894156,4.224007,2.9751532,7.2901206,5.1113544,3.003133,7.2138376,3.738638,1.673266,0.053695135,0.040271282,0.14035064,-0.0076600583,0.11204452,0.025747687,0.089356616,0.02086555,-0.00034191035,0.058229767,-0.055024747,-0.011856971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059133295,0.038586088,0.12874731,0.0005105473,0.0979467,0.027048346,0.08138753,0.029361818,-0.01290222,0.055669624,-0.08694536,-0.023754561,0.036665756,0.08107682,0.07595314,0.1461031,0.07007536,0.038719606,0.079877,0.0647003,0.14958522,0.09506022,0.24145448,0.11492769,0.4856988,-0.14032218,1.0713603,0.8075231,0.31581512,0.118583694,-0.34855023,1.5113621,0.60066044,0.5841769,0.45542833,0.3590564,0.030611217,0.023125842,0.064171836,-0.06289089,0.051488556,-0.019609075,0.04433132,-0.05058527,-0.03129205,0.0022058093,-0.05329728,0.00882381,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,91.58102416992188,75.26000213623047,,23.26053581237793,78.19000244140625,1107.819970703125,3.3581000328063966,20.60452880859375,139.55999755859375,5.7220001220703125,17.638999938964844,83.07418823242188,34.087886047363284,,367.75,940.5,498.25,3.630000114440918,9855434854000,6726710066000.0,3128724788000.0,383.0,296.25,266.5,78.35526315789,217.488,181.9,9.8,16582.71,0.11,3.68,8478.0,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116638586,0.0,7.7629294,0.0003049943,1.4215258,1.1677369,2.8193436,2.1878943,2.8069339,1.6831286,4.2136106,2.3672147,2.637453,3.6134498,3.258196,1.0439898,-0.014615527,0.008595757,-0.05039158,0.00857062,-0.02944492,-0.008363176,-0.036189053,-0.038922515,0.13119994,-0.030545963,0.107357025,-0.100812174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012591246,0.0072774966,-0.062835604,0.017148519,-0.046187352,-0.008314722,-0.045524597,-0.023306813,0.09813545,-0.028894264,0.048023544,-0.08575392,0.014602134,0.0513931,0.112116866,0.04374631,0.051082075,0.028009426,0.048014533,0.076256685,0.066002384,0.051645342,0.17096484,0.12256633,0.34484276,-0.298289,0.07192022,0.3169234,0.40833062,-0.39771947,-0.5587237,1.0149862,0.58262694,0.38860366,1.0545648,0.0287833,-0.034223262,-0.00704133,-0.114703596,-0.038683765,-0.085851625,-0.052957535,-0.076305255,-0.09557789,0.101973295,-0.07545535,0.10655297,-0.073543556,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,80.72535705566406,74.43000030517578,,22.66205711364746,79.23999786376953,1090.6400146484375,3.151599979400635,20.266081237792967,133.8,5.434000015258789,16.462400054931642,82.53688049316406,35.23804244995117,,359.0,909.75,474.75,3.6540000438690186,9855434854000,6726710066000.0,3128724788000.0,413.625,300.0,297.5,76.41315789474,217.281,181.0,9.8,16582.71,0.13,3.68,8527.6,,
2010-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.131093,0.0,1.591265,1.2310277,2.537176,2.3234966,2.624101,1.616897,3.8514476,2.934459,2.1205623,3.6521866,2.7252247,1.1158451,0.003543101,-0.028770326,0.011332108,0.025104467,0.036754932,-0.0035422363,0.0406513,0.021235343,0.06590331,0.03392941,0.15548073,-0.056384377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004865804,-0.026443396,0.002759704,0.027189735,0.02030488,-0.009184031,0.030015007,0.03202078,0.03650076,0.033182107,0.11278216,-0.021314502,0.04937608,0.04335134,0.16202463,0.0705008,0.07669597,0.03667139,0.03601036,0.0910693,0.09279088,0.048994295,0.1854922,0.17126867,0.50840235,-0.32921606,-0.12238204,0.9034942,0.09689694,-0.45920196,-0.6851489,0.939227,1.3671792,0.24149665,1.93093,0.25870162,-0.015913196,-0.045554955,-0.053343754,-0.018831449,-0.02219747,-0.047257125,-0.002950076,-0.03703289,0.043275934,-0.017260658,0.15609093,-0.03235467,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,80.72535705566406,71.88999938964844,,22.4892822265625,80.30000305175781,1081.8199951171875,2.9383999824523928,20.00318145751953,131.81000061035155,5.401000022888184,15.657999992370605,80.1378173828125,34.95364074707031,,356.0,929.5,484.0,3.5920000076293945,9855434854000,6726710066000.0,3128724788000.0,413.625,300.0,297.5,76.41315789474,217.281,181.0,9.8,16582.71,0.13,3.68,8527.6,,
2010-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73540777,5.0944138e-05,1.953848,1.2293524,2.4106154,3.3184912,3.0924695,2.2347093,4.419519,4.190595,2.7874522,4.5571136,2.8899913,1.2508296,-0.031281736,0.0010335584,-0.01395859,-0.048285075,-0.0138973985,0.0049839537,-0.010968879,-0.035406034,-0.061830666,-0.02006656,0.004938611,0.031158403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024862599,0.01677808,0.003452849,-0.048872624,-0.005401051,0.010132315,-0.002253877,-0.025476258,-0.081653014,-0.009136004,-0.03402013,0.07072709,0.05478394,0.09806553,0.1721349,0.21170753,0.104297355,0.06784573,0.022780994,0.20242971,0.25889668,0.12282122,0.3291532,0.12197003,0.5070316,-0.24425519,-0.42851558,1.1397144,-0.124550804,-0.393864,-0.9658762,0.8225256,1.1479868,0.015682729,1.7935251,0.42050886,-0.046768457,-0.012004464,-0.068261005,-0.08363414,-0.08076477,-0.037282728,-0.058675308,-0.09282469,-0.077630535,-0.075105116,0.0040928912,0.060972564,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,80.72535705566406,74.12999725341797,,22.634448051452637,80.31999969482422,1084.0499877929688,3.04449999332428,19.876262187957764,131.8874969482422,5.4679999351501465,15.44350004196167,81.76495361328125,34.83757305145264,,361.5,945.0,486.5,3.693000078201294,9855434854000,6726710066000.0,3128724788000.0,413.625,300.0,297.5,76.41315789474,217.281,181.0,9.8,16582.71,0.13,3.68,8527.6,,
2010-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31565836,0.0,8.899166,0.0,1.5180069,1.0140866,2.5149078,2.8377647,2.5491796,1.840146,2.687786,2.7848816,2.6079786,2.3717802,2.8755448,1.2396945,0.038105685,-0.048743498,0.00933599,0.061967015,-0.0343402,-0.0055302344,-0.036363762,0.017391643,0.03838539,-0.034497906,-0.054664455,-0.11294289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04534659,-0.025646482,0.039376292,0.07000325,-0.020821946,0.005568703,-0.01722592,0.026735364,0.047125697,-0.016083738,-0.05990805,-0.074554816,0.058368035,0.15695295,0.09151578,0.08161418,0.104297355,0.07945152,0.089325845,0.05514809,0.17305733,0.09300214,0.2521996,0.261016,0.4900553,-0.15269627,0.05388644,1.1653794,-0.44833383,-0.21388964,-1.201111,0.8684025,1.2036778,-0.12822053,1.229928,-0.20956434,0.026183952,-0.057119496,-0.03729662,0.024878109,-0.103336796,-0.045074455,-0.07693314,-0.037768487,0.023253005,-0.081972905,-0.055956237,-0.079345964,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,80.72535705566406,80.16000366210938,26.110000610351562,22.850863647460937,80.51000213623047,1118.1400146484375,3.281100034713745,20.66798553466797,132.8800018310547,4.894999980926514,16.18859977722168,84.12618255615234,36.52900772094726,,371.5,961.5,501.25,3.7990000247955322,9855434854000,6726710066000.0,3128724788000.0,413.625,300.0,297.5,76.41315789474,217.281,181.0,9.8,16582.71,0.13,3.68,8527.6,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7830029,0.004114041,1.7742908,1.4843944,3.072675,2.579342,2.4649582,2.298858,3.8659194,2.8096983,2.6211066,3.4527724,3.4342504,1.4279531,-0.027347237,-0.011960275,-0.08375954,-0.049148798,-0.032502767,-0.027989494,-0.043832947,-0.044209957,-0.037506968,-0.047696006,0.0183513,0.024004495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031452674,0.006308367,-0.057864536,-0.05989111,-0.02458174,-0.016588595,-0.034230657,-0.06194033,-0.023526091,-0.05463295,0.041007187,0.053123392,0.101856016,0.14883392,0.23675206,0.12160083,0.17101519,0.13861772,0.089325845,0.040086456,0.27062923,0.17860085,0.40863657,0.2065595,0.69966805,-0.07337351,-0.097794935,1.1926104,-0.62059176,-0.06737198,-1.3244836,1.0558449,1.0278113,0.041849483,1.5707673,0.19633235,-0.035303608,-0.01599409,-0.11997909,-0.085699715,-0.10024447,-0.06609307,-0.082438365,-0.090425864,-0.04948635,-0.09130967,0.020245401,0.058150053,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,74.116943359375,78.69999694824219,26.110000610351562,22.48215675354004,80.66000366210938,1108.62001953125,3.2487000465393066,20.891603851318358,129.4200012207031,4.678999900817871,16.177399826049804,84.67864990234375,36.74510040283203,,370.75,952.5,492.75,3.6059999465942383,9855434854000,6726710066000.0,3128724788000.0,424.5,354.375,278.7,81.25043478261,217.353,183.3,9.9,16582.71,0.16,3.61,8523.7,,
2010-03-08,0.031389892,0.0,0.010585234,1.7937721,0.0,0.0,0.0,0.009545555,7.9607577,0.0,17.52684,0.05124875,1.7436922,1.2500684,1.9736764,2.9471314,2.2575176,1.6997546,2.809972,3.1660352,3.1198385,3.0802531,3.7141118,1.1283197,0.020344684,-0.020576194,-0.06860919,0.014448941,-0.029890584,-0.0318758,-0.03890981,0.029778779,-0.0061315554,0.008095453,-0.03587241,-0.081481695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013367747,0.0022826248,-0.05952416,0.0031882355,-0.024521042,-0.009811646,-0.024410313,0.014481904,0.0064134556,0.00018708395,-0.008440099,-0.05966603,0.10076933,0.13771093,0.2653046,0.2701952,0.07749824,0.15783136,0.04735743,0.09098747,0.12934375,0.070209004,0.39336294,0.27808562,0.7958891,0.19223176,0.18124184,1.0827556,0.379051,0.90480477,-0.34202403,1.8996435,0.7790188,1.1473895,1.2459638,-0.18385686,0.016913118,-0.025279084,-0.106914505,-0.01449705,-0.09473451,-0.06703649,-0.07441212,-0.007991403,-0.009312787,-0.03265428,-0.025477037,-0.06410042,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,74.116943359375,81.87000274658203,26.110000610351562,22.270194625854494,80.43000030517578,1134.1199951171875,3.394799995422363,21.506554412841798,128.88999786376954,4.5269999504089355,17.22460021972656,86.47981262207031,37.36704330444336,,364.5,940.5,484.5,3.7079999446868896,9855434854000,6726710066000.0,3128724788000.0,424.5,354.375,278.7,81.25043478261,217.353,183.3,9.9,16582.71,0.16,3.61,8523.7,,
